Time	WT_1	RY_1	RY_2	RY_3	WT_2	WT_3	Rho_1	Rho_2	Rho_3	YdcI_1	YdcI_2	YdcI_3
1	0.054632043	0.054065616	0.059244482	0.054816541	0.060832506	0.054279749	0.052113673	0.054450735	0.057096581	0.052833079	0.058002238	0.052595395
2	0.135855522	0.136691141	0.138337536	0.126798492	0.138287606	0.12812987	0.121134247	0.125555787	0.131621546	0.129359732	0.122916124	0.123526025
3	0.239953653	0.247353197	0.243075191	0.225317049	0.246709561	0.227805694	0.21919884	0.22776208	0.236823023	0.234419196	0.217194114	0.220438809
4	0.355258179	0.369552211	0.360375281	0.338048163	0.369978458	0.341657942	0.334756208	0.347066157	0.35795818	0.35317088	0.329932516	0.332287691
5	0.469909544	0.487300304	0.476681458	0.451341899	0.491017396	0.456733731	0.453607292	0.467157162	0.478640324	0.470060638	0.446999609	0.446331651
6	0.575178155	0.5903806	0.582253625	0.555003136	0.598236583	0.563098168	0.564360116	0.57598502	0.587149802	0.574363286	0.556748125	0.552523782
7	0.666314208	0.674738948	0.672146079	0.643640079	0.68660029	0.655198977	0.66045022	0.667539225	0.677889725	0.661187284	0.652305632	0.645052878
8	0.741870658	0.740587953	0.745228304	0.715819297	0.755837785	0.731242455	0.73962133	0.740619203	0.749983622	0.729997242	0.731184081	0.721859345
9	0.80254469	0.790313952	0.802691122	0.772566093	0.808207233	0.791888472	0.802462924	0.796829051	0.805232529	0.782671243	0.793836705	0.78339667
10	0.850137516	0.827003623	0.846795462	0.816065371	0.846853507	0.83904897	0.851017177	0.838946966	0.846509224	0.822017936	0.842240026	0.831442952
11	0.886830398	0.853638683	0.880062213	0.848808345	0.874886119	0.875054953	0.887810154	0.869929279	0.876799911	0.850906088	0.878895138	0.868255775
12	0.914762751	0.872756173	0.904841015	0.873134298	0.894977263	0.902179661	0.915302582	0.892425961	0.898750134	0.871858912	0.906257032	0.896076848
13	0.935828569	0.886369302	0.923130934	0.891037673	0.909256603	0.922416012	0.935638794	0.90861229	0.91451594	0.886926268	0.926471396	0.916893047
14	0.951607151	0.896009197	0.936543206	0.904125345	0.919346216	0.937406917	0.950572275	0.920183502	0.925769315	0.897695971	0.941294419	0.932354883
15	0.963366037	0.902809049	0.946332335	0.913646258	0.926446433	0.948455074	0.961480893	0.928418013	0.933766597	0.905361083	0.952105865	0.943778735
16	0.972096827	0.907592564	0.953452795	0.920548297	0.931428794	0.956567072	0.969419299	0.934259302	0.939432389	0.910800199	0.959961015	0.952186536
