Curve,b0,A,umax,L,z,K,lag,umax.lw,umax.up,umax.lw.FI,umax.up.FI
A1,-0.034,1.0307,0.1168,0.6673,-3.3673,0.9967,1.2076,0.1031,0.1344,0.1021,0.1315
A2,0.0019,0.9411,0.1249,1.0529,-3.113,0.9431,0.7611,0.1057,0.1507,0.1039,0.1459
A3,-0.0146,0.9931,0.1165,0.942,-3.3236,0.9784,1.0337,0.1017,0.1352,0.1008,0.1322
A4,-0.0038,0.994,0.1198,1.1742,-3.2167,0.9902,1.0106,0.1031,0.1412,0.1019,0.1377
A5,0.0019,0.9464,0.1222,1.1754,-3.1297,0.9483,0.8839,0.1035,0.1469,0.1019,0.1426
A6,0,0.953,0.1234,1.0992,-3.1427,0.953,0.8496,0.1049,0.1478,0.1033,0.1435
A7,-0.0098,0.9337,0.1203,0.9827,-3.2721,0.9239,0.954,0.1038,0.1418,0.1025,0.1381
A8,0.0081,0.9723,0.1178,1.2685,-3.1675,0.9804,0.8327,0.1003,0.1403,0.099,0.1366
A9,-0.0121,0.9872,0.1151,1.008,-3.3012,0.9751,1.0438,0.1001,0.1341,0.0991,0.1311
A10,-0.0158,0.9346,0.1231,0.8688,-3.3163,0.9187,0.9682,0.1069,0.1443,0.1056,0.1405
A11,-0.016,0.9881,0.1189,0.8345,-3.3134,0.972,0.9512,0.104,0.138,0.1029,0.1349
A12,-0.008,0.9464,0.1151,0.9935,-3.29,0.9385,0.9314,0.0997,0.135,0.0986,0.1317
