

Software Version	3.10.06												
													
													
													
Experiment File Path:	DB:\Experiments\Rho_YdcI_pH\pH_GrowthCurves_2.xpt												
Protocol File Path:	DB:\Protocols\GrowthCurves_15h.prt												
													
													
													
Plate Number	Plate 1												
Date	10/28/21												
Time	3:12:38 PM												
Reader Type:	Synergy H1												
Reader Serial Number:	200922D												
Reading Type	Reader												
													
Procedure Details													
													
Plate Type	Falcon 96 flat bottom (Use plate lid)												
Eject plate on completion													
Set Temperature	Setpoint 37C												
	Preheat before moving to next step												
Read	Absorbance Endpoint												
	Full Plate												
	Wavelengths:  600												
	Pathlength Correction: 977 / 900												
	    Absorbance at 1 cm: 0.18												
	"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8"												
Start Kinetic	"Runtime 15:00:00 (HH:MM:SS), Interval 1:00:00, 16 Reads"												
    Shake	Orbital: Continuous												
	Frequency: 807 cpm (1 mm)												
    Read	Absorbance Endpoint												
	Full Plate												
	Wavelengths:  600												
	"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8"												
End Kinetic													
Read	Absorbance Endpoint												
	Full Plate												
	Wavelengths:  600												
	Pathlength Correction: 977 / 900												
	    Absorbance at 1 cm: 0.18												
	"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8"												
													
													
													
Actual Temperature:	37												
													
Results													
	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.041	0.044	0.041	0.04	0.041	0.043	0.041	0.041	0.041	0.041	0.042	0.041	Read 1:977 [Test]
	0.041	0.044	0.041	0.04	0.041	0.043	0.041	0.041	0.041	0.041	0.042	0.041	Read 1:900 [Ref]
	0.349	0.337	0.348	0.339	0.333	0.395	0.352	0.339	0.342	0.313	0.334	0.355	Read 1:Pathlength
	0.09	0.091	0.089	0.09	0.089	0.09	0.088	0.088	0.089	0.091	0.096	0.091	Read 1:600
B	0.154	0.154	0.151	0.151	0.151	0.155	0.153	0.153	0.151	0.151	0.149	0.153	Read 1:977 [Test]
	0.089	0.087	0.085	0.088	0.09	0.09	0.088	0.088	0.089	0.088	0.088	0.089	Read 1:900 [Ref]
	0.361	0.373	0.365	0.347	0.34	0.362	0.361	0.36	0.344	0.348	0.334	0.356	Read 1:Pathlength
	0.091	0.087	0.093	0.094	0.09	0.091	0.089	0.089	0.092	0.091	0.091	0.096	Read 1:600
C	0.155	0.154	0.151	0.151	0.155	0.153	0.153	0.154	0.154	0.149	0.153	0.153	Read 1:977 [Test]
	0.09	0.087	0.085	0.087	0.088	0.089	0.088	0.09	0.09	0.088	0.09	0.09	Read 1:900 [Ref]
	0.363	0.371	0.365	0.353	0.371	0.359	0.36	0.357	0.356	0.339	0.348	0.345	Read 1:Pathlength
	0.092	0.087	0.088	0.087	0.091	0.09	0.089	0.091	0.092	0.089	0.094	0.096	Read 1:600
D	0.158	0.155	0.153	0.153	0.155	0.16	0.153	0.154	0.158	0.151	0.156	0.153	Read 1:977 [Test]
	0.092	0.088	0.087	0.089	0.087	0.093	0.089	0.087	0.091	0.089	0.093	0.089	Read 1:900 [Ref]
	0.366	0.368	0.366	0.357	0.377	0.376	0.354	0.374	0.368	0.349	0.347	0.354	Read 1:Pathlength
	0.094	0.088	0.087	0.088	0.089	0.098	0.092	0.087	0.095	0.092	0.096	0.092	Read 1:600
E	0.155	0.155	0.153	0.157	0.157	0.155	0.153	0.155	0.155	0.152	0.153	0.152	Read 1:977 [Test]
	0.089	0.089	0.088	0.09	0.089	0.089	0.089	0.087	0.089	0.088	0.09	0.092	Read 1:900 [Ref]
	0.366	0.369	0.363	0.371	0.377	0.367	0.358	0.377	0.37	0.357	0.352	0.334	Read 1:Pathlength
	0.091	0.088	0.089	0.092	0.09	0.089	0.093	0.089	0.09	0.091	0.093	0.097	Read 1:600
