Time	WT_1	WT_2	WT_3	Rho_1	Rho_2	Rho_3	YdcI_1	YdcI_2	YdcI_3	RY_1	RY_3
1	0.031562993	0.020490352	0.018244147	0.037415221	0.024097532	0.018300224	0.030219624	0.03240399	0.035492102	0.028117134	0.020534961
2	0.059180384	0.063555656	0.063444143	0.055606935	0.062012473	0.060823646	0.059030529	0.059895086	0.051870311	0.059574157	0.060293197
3	0.101471813	0.114999138	0.118901695	0.091977345	0.109071537	0.110981635	0.101405824	0.104155545	0.092242421	0.103057982	0.11071019
4	0.15671005	0.172600265	0.181622891	0.147228072	0.163053919	0.166547611	0.155504809	0.161605365	0.156435311	0.156660672	0.169004351
5	0.220521254	0.233738821	0.248044156	0.215844706	0.221127094	0.224997386	0.217347643	0.225284618	0.232353487	0.216981202	0.231599246
6	0.28757806	0.295829392	0.314747637	0.289390258	0.280418162	0.283907308	0.282210351	0.288176361	0.305999064	0.28011778	0.294945232
7	0.353091831	0.35662967	0.378926618	0.360191997	0.338429778	0.341222677	0.345828503	0.345276217	0.368614043	0.342506125	0.356081892
8	0.413607493	0.414401764	0.438580516	0.423228103	0.39325675	0.395386801	0.405053847	0.394034928	0.417395215	0.401401603	0.412889225
9	0.467147505	0.467950129	0.492505767	0.476251539	0.443633623	0.4453585	0.457997238	0.433854701	0.453265551	0.45501973	0.464095826
10	0.512972305	0.516576893	0.540170564	0.519050982	0.48887224	0.490558215	0.503855433	0.46533676	0.478655522	0.502449029	0.509147148
11	0.551208125	0.559994144	0.581546431	0.552579666	0.528746027	0.530779369	0.542614808	0.48964736	0.49618127	0.543457308	0.548021473
12	0.582494351	0.598223077	0.616943369	0.578282126	0.56336216	0.566091577	0.574756319	0.508101641	0.508080092	0.578278018	0.581049515
13	0.60771291	0.631498648	0.646871756	0.597677809	0.593045542	0.596751644	0.601018577	0.521937407	0.516071077	0.607423601	0.608764829
14	0.627807819	0.660189106	0.671938115	0.612148459	0.618245118	0.62312988	0.62223192	0.532217398	0.521399312	0.631543099	0.631792763
15	0.643679152	0.684733382	0.692772871	0.622855926	0.639464485	0.645653642	0.639214841	0.539805615	0.524935359	0.651324098	0.650775234
16	0.656129892	0.705595547	0.709984364	0.630731626	0.657214275	0.664766882	0.652717146	0.545380344	0.527274763	0.667431471	0.666324287
