Competition	Replicate	Comp1	Comp2	Day	Dilution	Strain_1_colonies	Strain_1_CFU	Strain_2_colonies	Strain_2_CFU	Method
WT_Rho	1	WT	Rho	0	-6	26	26000000	24	24000000	SingleFlask
WT_Rho	2	WT	Rho	0	-5	210	21000000	212	21200000	SingleFlask
WT_Rho	3	WT	Rho	0	-6	24	24000000	21	21000000	SingleFlask
WFL_ydcI	1	WT	ydcI	0	-5	153	15300000	157	15700000	SingleFlask
WFL_ydcI	2	WT	ydcI	0	-5	199	19900000	198	19800000	SingleFlask
WFL_ydcI	3	WT	ydcI	0	-6	24	24000000	17	17000000	SingleFlask
WT_RY	1	WT	Rho_ydcI	0	-5	158	15800000	118	11800000	SingleFlask
WT_RY	2	WT	Rho_ydcI	0	-5	189	18900000	184	18400000	SingleFlask
WT_RY	3	WT	Rho_ydcI	0	-6	18	18000000	15	15000000	SingleFlask
ydcI_RY	1	ydcI	Rho_ydcI	0	-5	246	24600000	134	13400000	SingleFlask
ydcI_RY	2	ydcI	Rho_ydcI	0	-6	31	31000000	17	17000000	SingleFlask
ydcI_RY	3	ydcI	Rho_ydcI	0	-6	23	23000000	14	14000000	SingleFlask
WT_Rho	1	WT	Rho	1	-7	283	2830000000	162	1620000000	SingleFlask
WT_Rho	2	WT	Rho	1	-7	215	2150000000	93	930000000	SingleFlask
WT_Rho	3	WT	Rho	1	-7	165	1650000000	84	840000000	SingleFlask
WFL_ydcI	1	WT	ydcI	1	-7	29	290000000	47	470000000	SingleFlask
WFL_ydcI	2	WT	ydcI	1	-7	149	1490000000	149	1490000000	SingleFlask
WFL_ydcI	3	WT	ydcI	1	-7	184	1840000000	163	1630000000	SingleFlask
WT_RY	1	WT	Rho_ydcI	1	-7	296	2960000000	70	700000000	SingleFlask
WT_RY	2	WT	Rho_ydcI	1	-7	117	1170000000	40	400000000	SingleFlask
WT_RY	3	WT	Rho_ydcI	1	-7	321	3210000000	86	860000000	SingleFlask
ydcI_RY	1	ydcI	Rho_ydcI	1	-7	147	1470000000	51	510000000	SingleFlask
ydcI_RY	2	ydcI	Rho_ydcI	1	-7	181	1810000000	57	570000000	SingleFlask
ydcI_RY	3	ydcI	Rho_ydcI	1	-7	201	2010000000	95	950000000	SingleFlask
WT_Rho	1	WT	Rho	2	-7	5	50000000	34	340000000	SingleFlask
WT_Rho	2	WT	Rho	2	-6	128	128000000	191	191000000	SingleFlask
WT_Rho	3	WT	Rho	2	-7	13	130000000	21	210000000	SingleFlask
WFL_ydcI	1	WT	ydcI	2	-6	61	61000000	285	285000000	SingleFlask
WFL_ydcI	2	WT	ydcI	2	-7	16	160000000	20	200000000	SingleFlask
WFL_ydcI	3	WT	ydcI	2	-6	171	171000000	232	232000000	SingleFlask
WT_RY	1	WT	Rho_ydcI	2	-6	63	63000000	97	97000000	SingleFlask
WT_RY	2	WT	Rho_ydcI	2	-6	62	62000000	214	214000000	SingleFlask
WT_RY	3	WT	Rho_ydcI	2	-6	157	157000000	210	210000000	SingleFlask
ydcI_RY	1	ydcI	Rho_ydcI	2	-7	4	40000000	10	100000000	SingleFlask
ydcI_RY	2	ydcI	Rho_ydcI	2	-6	111	111000000	77	77000000	SingleFlask
ydcI_RY	3	ydcI	Rho_ydcI	2	-6	109	109000000	141	141000000	SingleFlask
WT_Rho	1	WT	Rho	3	-6	39	39000000	171	171000000	SingleFlask
WT_Rho	2	WT	Rho	3	-6	63	63000000	150	150000000	SingleFlask
WT_Rho	3	WT	Rho	3	-6	38	38000000	165	165000000	SingleFlask
WFL_ydcI	1	WT	ydcI	3	-6	37	37000000	161	161000000	SingleFlask
WFL_ydcI	2	WT	ydcI	3	-6	52	52000000	147	147000000	SingleFlask
WFL_ydcI	3	WT	ydcI	3	-6	74	74000000	146	146000000	SingleFlask
WT_RY	1	WT	Rho_ydcI	3	-6	39	39000000	155	155000000	SingleFlask
WT_RY	2	WT	Rho_ydcI	3	-6	34	34000000	230	230000000	SingleFlask
WT_RY	3	WT	Rho_ydcI	3	-6	96	96000000	141	141000000	SingleFlask
ydcI_RY	1	ydcI	Rho_ydcI	3	-6	99	99000000	104	104000000	SingleFlask
ydcI_RY	2	ydcI	Rho_ydcI	3	-6	105	105000000	94	94000000	SingleFlask
ydcI_RY	3	ydcI	Rho_ydcI	3	-6	98	98000000	129	129000000	SingleFlask
WT_Rho	1	WT	Rho	4	-6	26	26000000	59	59000000	SingleFlask
WT_Rho	2	WT	Rho	4	-6	46	46000000	93	93000000	SingleFlask
WT_Rho	3	WT	Rho	4	-6	37	37000000	79	79000000	SingleFlask
WFL_ydcI	1	WT	ydcI	4	-6	36	36000000	147	147000000	SingleFlask
WFL_ydcI	2	WT	ydcI	4	-6	62	62000000	141	141000000	SingleFlask
WFL_ydcI	3	WT	ydcI	4	-6	81	81000000	138	138000000	SingleFlask
WT_RY	1	WT	Rho_ydcI	4	-6	43	43000000	89	89000000	SingleFlask
WT_RY	2	WT	Rho_ydcI	4	-6	30	30000000	121	121000000	SingleFlask
WT_RY	3	WT	Rho_ydcI	4	-6	77	77000000	73	73000000	SingleFlask
ydcI_RY	1	ydcI	Rho_ydcI	4	-6	71	71000000	52	52000000	SingleFlask
ydcI_RY	2	ydcI	Rho_ydcI	4	-6	95	95000000	68	68000000	SingleFlask
ydcI_RY	3	ydcI	Rho_ydcI	4	-6	93	93000000	80	80000000	SingleFlask
WT_Rho	1	WT	Rho	5	-6	14	14000000	8	8000000	SingleFlask
WT_Rho	2	WT	Rho	5	-6	92	92000000	24	24000000	SingleFlask
WT_Rho	3	WT	Rho	5	-6	157	157000000	34	34000000	SingleFlask
WFL_ydcI	1	WT	ydcI	5	-6	18	18000000	114	114000000	SingleFlask
WFL_ydcI	2	WT	ydcI	5	-6	51	51000000	176	176000000	SingleFlask
WFL_ydcI	3	WT	ydcI	5	-6	56	56000000	162	162000000	SingleFlask
WT_RY	1	WT	Rho_ydcI	5	-6	59	59000000	174	174000000	SingleFlask
WT_RY	2	WT	Rho_ydcI	5	-6	56	56000000	60	60000000	SingleFlask
WT_RY	3	WT	Rho_ydcI	5	-6	106	106000000	74	74000000	SingleFlask
ydcI_RY	1	ydcI	Rho_ydcI	5	-6	143	143000000	34	34000000	SingleFlask
ydcI_RY	2	ydcI	Rho_ydcI	5	-6	114	114000000	11	11000000	SingleFlask
ydcI_RY	3	ydcI	Rho_ydcI	5	-6	141	141000000	44	44000000	SingleFlask
WT_Rho	1	WT	Rho	6	-6	487	487000000	19	19000000	SingleFlask
WT_Rho	2	WT	Rho	6	-6	97	97000000	9	9000000	SingleFlask
WT_Rho	3	WT	Rho	6	-6	248	248000000	12	12000000	SingleFlask
WFL_ydcI	1	WT	ydcI	6	-6	5	5000000	220	220000000	SingleFlask
WFL_ydcI	2	WT	ydcI	6	-6	5	5000000	232	232000000	SingleFlask
WFL_ydcI	3	WT	ydcI	6	-6	12	12000000	251	251000000	SingleFlask
WT_RY	1	WT	Rho_ydcI	6	-6	34	34000000	120	120000000	SingleFlask
WT_RY	2	WT	Rho_ydcI	6	-6	108	108000000	72	72000000	SingleFlask
WT_RY	3	WT	Rho_ydcI	6	-6	54	54000000	131	131000000	SingleFlask
ydcI_RY	1	ydcI	Rho_ydcI	6	-6	270	270000000	16	16000000	SingleFlask
ydcI_RY	2	ydcI	Rho_ydcI	6	-6	240	240000000	4	4000000	SingleFlask
ydcI_RY	3	ydcI	Rho_ydcI	6	-6	210	210000000	17	17000000	SingleFlask
WT_Rho	1	WT	Rho	7	-6	426	426000000	9	9000000	SingleFlask
WT_Rho	2	WT	Rho	7	-6	293	293000000	4	400000	SingleFlask
WT_Rho	3	WT	Rho	7	-6	332	332000000	5	5000000	SingleFlask
WFL_ydcI	1	WT	ydcI	7	-6	2	2000000	329	329000000	SingleFlask
WFL_ydcI	2	WT	ydcI	7	-6	3	300000	209	209000000	SingleFlask
WFL_ydcI	3	WT	ydcI	7	-6	0.1	100000	354	354000000	SingleFlask
WT_RY	1	WT	Rho_ydcI	7	-6	56	56000000	218	218000000	SingleFlask
WT_RY	2	WT	Rho_ydcI	7	-6	173	173000000	124	124000000	SingleFlask
WT_RY	3	WT	Rho_ydcI	7	-6	15	15000000	113	113000000	SingleFlask
ydcI_RY	1	ydcI	Rho_ydcI	7	-6	402	402000000	0.1	100000	SingleFlask
ydcI_RY	2	ydcI	Rho_ydcI	7	-6	305	305000000	1	1000000	SingleFlask
ydcI_RY	3	ydcI	Rho_ydcI	7	-6	295	295000000	7	7000000	SingleFlask
WT_Rho	1	WT	Rho	8	-6	209	209000000	0.1	100000	SingleFlask
WT_Rho	2	WT	Rho	8	-6	298	298000000	0.1	100000	SingleFlask
WT_Rho	3	WT	Rho	8	-6	206	206000000	0.1	100000	SingleFlask
WFL_ydcI	1	WT	ydcI	8	-6	0.1	100000	232	232000000	SingleFlask
WFL_ydcI	2	WT	ydcI	8	-6	1	1000000	176	176000000	SingleFlask
WFL_ydcI	3	WT	ydcI	8	-6	0.1	100000	259	259000000	SingleFlask
