Clone	CultureTube	CultureDay	DayPair	Replicate	CountDay	WTCount	EvoCount	pWT	pEvo	pH
403-2	Plastic	0	1	Rep1	1	8.20E+06	6.40E+06	0.561643836	0.438356164	7
403-5	Plastic	0	1	Rep1	1	5.00E+06	9.20E+06	0.352112676	0.647887324	7
403-2	Plastic	0	4	Rep1	1	6.20E+06	9.80E+06	0.3875	0.6125	7
403-5	Plastic	0	4	Rep1	1	4.70E+06	4.90E+06	0.489583333	0.510416667	7
403-2	Plastic	0	10	Rep1	1	6.50E+06	7.50E+06	0.464285714	0.535714286	7
403-5	Plastic	0	10	Rep1	1	5.30E+06	7.60E+06	0.410852713	0.589147287	7
403-2	Plastic	1	1	Rep1	1	8.00E+08	3.30E+08	0.707964602	0.292035398	6.72
403-5	Plastic	1	1	Rep1	1	5.50E+08	6.20E+08	0.47008547	0.52991453	6.74
403-2	Plastic	4	4	Rep1	1	3.60E+08	2.00E+08	0.642857143	0.357142857	8.39
403-5	Plastic	4	4	Rep1	1	4.10E+08	2.80E+08	0.594202899	0.405797101	8.39
403-1	Plastic	0	1	Rep2	1	1.14E+07	1.53E+07	0.426966292	0.573033708	7
403-2	Plastic	0	1	Rep2	1	8.90E+06	1.32E+07	0.402714932	0.597285068	7
403-5	Plastic	0	1	Rep2	1	9.20E+06	9.60E+06	0.489361702	0.510638298	7
403-1	Plastic	0	4	Rep2	1	9.80E+06	1.01E+07	0.492462312	0.507537688	7
403-2	Plastic	0	4	Rep2	1	7.70E+06	9.70E+06	0.442528736	0.557471264	7
403-5	Plastic	0	4	Rep2	1	1.04E+07	6.90E+06	0.601156069	0.398843931	7
403-1	Plastic	0	10	Rep2	1	9.20E+06	1.14E+07	0.446601942	0.553398058	7
403-2	Plastic	0	10	Rep2	1	8.60E+06	9.40E+06	0.477777778	0.522222222	7
403-5	Plastic	0	10	Rep2	1	7.90E+06	7.20E+06	0.523178808	0.476821192	7
403-1	Plastic	1	1	Rep2	1	8.20E+08	5.20E+08	0.611940299	0.388059701	6.91
403-2	Plastic	1	1	Rep2	1	1.04E+09	1.03E+09	0.502415459	0.497584541	7.48
403-5	Plastic	1	1	Rep2	1	7.80E+08	3.80E+09	0.170305677	0.829694323	7.89
403-1	Plastic	0	1	Rep3	1	2.70E+06	4.70E+06	0.364864865	0.635135135	7
403-2	Plastic	0	1	Rep3	1	4.30E+06	4.50E+06	0.488636364	0.511363636	7
403-5	Plastic	0	1	Rep3	1	3.80E+06	4.00E+06	0.487179487	0.512820513	7
403-1	Plastic	0	4	Rep3	1	3.10E+06	3.60E+06	0.462686567	0.537313433	7
403-2	Plastic	0	4	Rep3	1	3.80E+06	4.60E+06	0.452380952	0.547619048	7
403-5	Plastic	0	4	Rep3	1	5.00E+06	4.50E+06	0.526315789	0.473684211	7
403-1	Plastic	0	10	Rep3	1	3.50E+06	3.60E+06	0.492957746	0.507042254	7
403-2	Plastic	0	10	Rep3	1	4.30E+06	4.10E+06	0.511904762	0.488095238	7
403-5	Plastic	0	10	Rep3	1	4.00E+06	4.10E+06	0.49382716	0.50617284	7
403-1	Plastic	0	1	Rep4	1	1.90E+06	3.50E+06	0.351851852	0.648148148	7
403-2	Plastic	0	1	Rep4	1	3.30E+06	4.50E+06	0.423076923	0.576923077	7
403-5	Plastic	0	1	Rep4	1	3.50E+06	3.60E+06	0.492957746	0.507042254	7
403-1	Plastic	0	4	Rep4	1	2.60E+06	4.10E+06	0.388059701	0.611940299	7
403-2	Plastic	0	4	Rep4	1	3.10E+06	4.40E+06	0.413333333	0.586666667	7
403-5	Plastic	0	4	Rep4	1	4.30E+06	4.10E+06	0.511904762	0.488095238	7
403-1	Plastic	0	10	Rep4	1	4.30E+06	6.20E+06	0.40952381	0.59047619	7
403-2	Plastic	0	10	Rep4	1	4.00E+06	3.90E+06	0.506329114	0.493670886	7
403-5	Plastic	0	10	Rep4	1	3.70E+06	4.10E+06	0.474358974	0.525641026	7
403-1	Plastic	1	1	Rep3	1	5.10E+08	5.40E+08	0.485714286	0.514285714	7.36
403-2	Plastic	1	1	Rep3	1	1.13E+09	2.70E+08	0.807142857	0.192857143	7.66
403-5	Plastic	1	1	Rep3	1	5.50E+08	1.54E+09	0.263157895	0.736842105	7.48
403-1	Plastic	1	1	Rep4	1	6.40E+08	3.00E+08	0.680851064	0.319148936	7.2
403-2	Plastic	1	1	Rep4	1	5.50E+08	3.30E+08	0.625	0.375	6.99
403-5	Plastic	1	1	Rep4	1	4.00E+08	1.70E+08	0.701754386	0.298245614	6.96
403-1	Plastic	4	4	Rep2	1	4.80E+08	2.40E+08	0.666666667	0.333333333	8.23
403-2	Plastic	4	4	Rep2	1	2.40E+08	1.40E+08	0.631578947	0.368421053	8.55
403-5	Plastic	4	4	Rep2	1	2.30E+08	3.30E+08	0.410714286	0.589285714	8.59
403-1	Plastic	10	10	Rep1	1	6.90E+07	1.00E+05	0.998552822	0.001447178	9.06
403-2	Plastic	10	10	Rep1	1	7.70E+07	2.30E+07	0.77	0.23	9.1
403-5	Plastic	10	10	Rep1	1	7.60E+07	4.60E+07	0.62295082	0.37704918	9.07
403-1	Plastic	10	10	Rep2	1	5.00E+05	8.40E+07	0.00591716	0.99408284	8.75
403-2	Plastic	10	10	Rep2	1	1.00E+06	5.80E+07	0.016949153	0.983050847	8.99
403-5	Plastic	10	10	Rep2	1	1.20E+06	1.20E+07	0.090909091	0.909090909	8.3
403-1	Plastic	4	4	Rep3	1	1.58E+09	1.20E+08	0.929411765	0.070588235	8.12
