Clone	CultureTube	DayPair	Selection	pH
403-1	Glass	1	-0.627834166	7.37
403-1	Glass	1	-0.742135384	7.81
403-1	Glass	1	-0.510825624	8.13
403-1	Glass	1	-0.539581125	8.06
403-1	Glass	4	0.446735046	8.75
403-1	Glass	4	0.325402818	8.83
403-1	Glass	4	0.74718277	8.82
403-1	Glass	4	0.406997048	8.8
403-1	Glass	10	0.545165139	9.07
403-1	Glass	10	0.644571982	9.02
403-1	Glass	10	0.608373982	9.07
403-1	Glass	10	0.524644554	8.9
403-2	Glass	1	-1.39372934	7.69
403-2	Glass	1	-1.266724015	7.73
403-2	Glass	1	-1.355730114	8.2
403-2	Glass	1	-0.974036408	8.19
403-2	Glass	4	0.552272861	8.86
403-2	Glass	4	-0.02743281	8.77
403-2	Glass	4	0.369810118	8.86
403-2	Glass	4	-0.20602517	8.47
403-2	Glass	10	0.387634997	9.03
403-2	Glass	10	0.453617731	9.08
403-2	Glass	10	0.391565277	8.82
403-2	Glass	10	0.402713581	8.8
403-5	Glass	1	-0.672944473	7.43
403-5	Glass	1	-0.482240356	8.13
403-5	Glass	1	0.084573184	8.14
403-5	Glass	1	0.27717935	8.06
403-5	Glass	4	0.837476022	8.86
403-5	Glass	4	0.882507563	8.88
403-5	Glass	4	-0.113263518	8.5
403-5	Glass	4	-0.217227834	8.18
403-5	Glass	10	0.667234164	9.02
403-5	Glass	10	0.440994947	8.98
403-5	Glass	10	0.217866721	8.73
403-5	Glass	10	0.439875487	8.74
403-1	Plastic	1	-0.749715002	6.91
403-1	Plastic	1	-0.497152322	7.36
403-1	Plastic	1	-1.368594784	7.2
403-1	Plastic	4	-0.180825055	8.23
403-1	Plastic	4	-0.681805029	8.12
403-1	Plastic	4	-0.175583902	8.5
403-1	Plastic	10	0.490955411	8.75
403-1	Plastic	10	-0.13365037	7.09
403-1	Plastic	10	0.436145355	8.96
403-2	Plastic	1	-0.637682909	6.72
403-2	Plastic	1	-0.403827464	7.48
403-2	Plastic	1	-1.477013327	7.66
403-2	Plastic	1	-0.820980552	6.99
403-2	Plastic	4	-0.26140494	8.39
403-2	Plastic	4	-0.192475514	8.55
403-2	Plastic	4	-0.635607623	8.23
403-2	Plastic	4	0.067209195	8.75
403-2	Plastic	10	-0.135141205	9.1
403-2	Plastic	10	0.397149552	8.99
403-2	Plastic	10	0.429612329	8.87
403-2	Plastic	10	0.124909324	9.08
403-5	Plastic	1	-0.489964372	6.74
403-5	Plastic	1	1.540902812	7.89
403-5	Plastic	1	0.978326123	7.48
403-5	Plastic	1	-0.883836987	6.96
403-5	Plastic	4	-0.105760063	8.39
403-5	Plastic	4	0.192824435	8.59
403-5	Plastic	4	-0.778378827	7.21
403-5	Plastic	4	-0.015392811	8.33
403-5	Plastic	10	-0.086253337	9.07
403-5	Plastic	10	0.239536683	8.3
403-5	Plastic	10	0.561009699	9.07
403-5	Plastic	10	0.117827969	9.07
